gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707031660997477826e+06,4.688712944000358693e+06,3.360423272753788158e+06,-1.534677026512037690e-01,1.133541664328343024e-01,3.950526390868264182e-02
-2.707028020618363284e+06,4.688713346684308723e+06,3.360435570813455619e+06,-6.266202766863709916e-02,9.744512239024204214e-02,-8.696880863627409752e-02
-2.707029978034056257e+06,4.688710616511937231e+06,3.360439203213510104e+06,2.280190883367797655e-02,3.632544868546249556e-02,2.297516693571617641e-02
-2.707031408251072746e+06,4.688708415316574275e+06,3.360432256890195888e+06,-1.177549293266417184e-02,-2.271756235784414685e-02,-1.414681855150822787e-01
-2.707025796856526285e+06,4.688706808969830163e+06,3.360447217400650028e+06,4.210412574714218065e-02,-4.904796209049154532e-02,2.129690994175802154e-02
-2.707028420610266738e+06,4.688711467745959759e+06,3.360433983246432152e+06,-3.765118795610082614e-02,3.322862652069704520e-02,-3.350937754654424033e-02
-2.707031432692963164e+06,4.688712191704996862e+06,3.360440173632686492e+06,-1.453212086604142861e-02,-1.204506948549549129e-02,4.807003154236503574e-03
-2.707025002276594285e+06,4.688713725218141451e+06,3.360431548967514187e+06,-2.328364233105042081e-03,-1.772467591062218406e-02,-5.511205572904195882e-02
-2.707032332307601348e+06,4.688705096756068058e+06,3.360442651477869600e+06,-9.620865411080977564e-03,5.331998424706092810e-02,1.692861862841764375e-02
-2.707026125389832538e+06,4.688724124484570697e+06,3.360427264466146007e+06,2.299546665347576568e-02,1.621050982816743188e-02,6.261982626114706574e-02
-2.707028460388769396e+06,4.688705653212185018e+06,3.360422001124314498e+06,4.740282853086792009e-02,-3.818400323580917188e-02,9.100744437068113146e-02
-2.707027048376816791e+06,4.688700156366558746e+06,3.360413080224510282e+06,2.913294974351372801e-02,-4.645089306015373447e-03,-5.906882635692767280e-02
-2.707026489716430195e+06,4.688712087861443870e+06,3.360434272390719503e+06,-5.023498370823865911e-02,6.324279082198083768e-02,4.369128636581831593e-02
-2.707025255840783473e+06,4.688714660856466740e+06,3.360430434690590482e+06,6.905028873748379759e-02,1.326119699450475226e-02,8.008143918497939717e-02
-2.707020187395249028e+06,4.688708172544122674e+06,3.360425529787500855e+06,8.544874381168761357e-02,-2.450398093097962138e-02,3.792356663644042697e-02
-2.707022676374201663e+06,4.688705640199195594e+06,3.360442386956375558e+06,9.673318361386669048e-03,-4.634836949392270172e-02,-6.607823188483191723e-02
-2.707020628111994360e+06,4.688710305034699850e+06,3.360425166887614876e+06,3.319925896174615726e-02,-1.371557778962994092e-02,1.146219482083955278e-02
-2.707031740298530087e+06,4.688710887513836846e+06,3.360428591638445854e+06,-3.551717462315186896e-02,5.169604155180047844e-02,9.290442383461694140e-03
-2.707028139876714908e+06,4.688710713315705769e+06,3.360425847688136622e+06,5.577889546637435775e-02,-7.074854938509897440e-02,2.507578441056477255e-03
-2.707033113517134450e+06,4.688708010067052208e+06,3.360430827503058594e+06,-6.128809110382479886e-02,-3.548881912161420960e-02,-2.822986884137515182e-02
-2.707028109794922639e+06,4.688710233658029698e+06,3.360422864831956103e+06,-3.175618504380573175e-03,-1.346248463052010340e-02,3.472410079107343672e-02
-2.707022765776375774e+06,4.688705925238137133e+06,3.360422266083166935e+06,-6.318204236841043486e-02,-1.210735748525713917e-02,-9.935612180663148799e-05
-2.707026971806679852e+06,4.688707008745240979e+06,3.360436942020208575e+06,-7.180940025827452396e-03,2.512735203037523915e-02,-5.127894287754634212e-02
-2.707031254793109372e+06,4.688711924344942905e+06,3.360440528853430878e+06,-6.914834380495663534e-03,-2.618553608695278756e-02,-4.226502093002868637e-02
-2.707026435469295364e+06,4.688714213579816744e+06,3.360437116803274024e+06,1.310181414387405832e-02,1.395931086128063547e-01,3.841547137289594294e-02
-2.707031006750010885e+06,4.688704852858874016e+06,3.360431081408988219e+06,-6.975471655225686657e-03,-2.211795947568711423e-02,7.064460485513894550e-02
-2.707023964716941118e+06,4.688713874443806708e+06,3.360430044801129028e+06,-4.108515259454993684e-02,-2.524878912898092988e-03,3.552282351888552681e-02
-2.707028046203459147e+06,4.688713258188771084e+06,3.360422178041732404e+06,-1.763788692740142147e-02,3.105165357226923398e-02,1.172647668641101960e-02
-2.707027915395862423e+06,4.688707628399038687e+06,3.360427221283578780e+06,-2.245221744454556703e-02,2.755714094244790177e-02,-9.249624782244197929e-02
-2.707031626681224443e+06,4.688719111505988054e+06,3.360418944576257840e+06,-5.090463702639597132e-02,2.584908055307998109e-02,5.099789328342518163e-02
-2.707037284927068278e+06,4.688706880899703130e+06,3.360422296202593483e+06,5.845093210570549008e-02,1.943728509776080499e-02,-5.819723453457698037e-02
-2.707036580811165739e+06,4.688717038074041717e+06,3.360443079616333358e+06,-6.685333379350334899e-03,6.832477423604590983e-02,-2.963820569689018525e-02
-2.707032726746661123e+06,4.688715696050279774e+06,3.360426693938912358e+06,-4.491563854383594928e-02,2.807341302626411780e-02,-8.454671840976839270e-02
-2.707030873485384509e+06,4.688716946297958493e+06,3.360436893490364775e+06,7.074973501572010513e-03,4.509371232512784933e-03,-2.906207266692905841e-02
-2.707034902614341583e+06,4.688708570151410997e+06,3.360443381238333415e+06,5.085821075602969116e-02,-1.768692274397978825e-02,-2.062516225776181433e-02
-2.707038809784637298e+06,4.688709801560756750e+06,3.360438387273137458e+06,-2.718040415693401268e-02,1.004243784716495058e-02,-9.421353777381367978e-02
-2.707028553128681611e+06,4.688714075646603480e+06,3.360424339159123134e+06,7.086334174126157626e-02,-9.212817971225815972e-02,3.415675273575794618e-02
-2.707032570562793408e+06,4.688707926815086976e+06,3.360436378558986355e+06,5.500176093704572250e-02,4.087541680134318400e-02,-1.314312458798777908e-02
-2.707031643018363509e+06,4.688707812348346226e+06,3.360437853161783889e+06,-2.731510963177918513e-02,7.405662315110918270e-02,2.601227300599416592e-02
-2.707028887029643171e+06,4.688711115851833485e+06,3.360425142938441131e+06,-3.117459732721877819e-02,1.499215104131679938e-02,2.747807068274304640e-02
-2.707025991402470972e+06,4.688714324562458321e+06,3.360419708282378968e+06,8.964026868502436574e-03,6.786006528662373583e-02,-6.575826831872937095e-02
