vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.072245640140133460e+00,-7.071131003708098994e+00,8.004288568479154837e-04
7.072246514031585995e+00,-7.071117586347047457e+00,8.280519201401826930e-04
7.072133248689618235e+00,-7.071200359982062977e+00,9.473246758699183393e-04
7.072077087362305114e+00,-7.071230347025253771e+00,1.020926910097802150e-03
7.072117560929331859e+00,-7.071202941610954973e+00,1.017114826835220469e-03
7.072105590259446295e+00,-7.071243476008207907e+00,8.217124837708745383e-04
7.072022813681215325e+00,-7.071317198993366304e+00,7.916759629074296119e-04
7.072039402059981938e+00,-7.071241296144730626e+00,7.961831700829286474e-04
7.072047371432977236e+00,-7.071209147350490554e+00,7.208478101819547736e-04
7.071963403792492109e+00,-7.071254564739547277e+00,6.960547824355348611e-04
7.071985458716476991e+00,-7.071256282974080598e+00,7.245832709061104764e-04
7.072020494960073123e+00,-7.071234581310005041e+00,7.915369961582320937e-04
7.072058837361369754e+00,-7.071265518017872509e+00,7.649580116769372391e-04
7.072081643541293872e+00,-7.071252353179945160e+00,8.045898394786675468e-04
7.072136606726748376e+00,-7.071234403567734361e+00,7.580507193293760338e-04
7.072183120593000361e+00,-7.071322532113125447e+00,8.097147672309724454e-04
7.072236773686591427e+00,-7.071333646185570032e+00,7.543673513887640429e-04
7.072198553889061046e+00,-7.071302988508404219e+00,7.923961450408475039e-04
7.072216726143902399e+00,-7.071237469699816813e+00,7.421094869718930596e-04
7.072252726330549244e+00,-7.071259715734156792e+00,7.100085779759915394e-04
7.072309851853968432e+00,-7.071272848551407364e+00,6.452332494747706421e-04
7.072314981867331873e+00,-7.071240765387528882e+00,5.680639068788792285e-04
7.072289011964668859e+00,-7.071215579462860390e+00,5.901708838443685658e-04
7.072303955572250445e+00,-7.071170338404070499e+00,4.821589010768389584e-04
7.072376312656658115e+00,-7.071038071024747573e+00,5.818729599487935120e-04
7.072351127630394529e+00,-7.071027502596489711e+00,4.955043277679331473e-04
7.072381766998040220e+00,-7.070976080030328070e+00,5.443762149336232609e-04
7.072286238695312477e+00,-7.070993191722825699e+00,4.518873317429683741e-04
7.072279670524480366e+00,-7.071004749559471669e+00,3.987194160918090813e-04
7.072317103273286776e+00,-7.071027612750375724e+00,4.326632238927819330e-04
7.072305521310859433e+00,-7.070990491461102145e+00,4.740892105290576953e-04
7.072316812342735126e+00,-7.071027901323908793e+00,5.196883236532287044e-04
7.072280503439182020e+00,-7.071136513445472005e+00,5.034405736441234860e-04
7.072350753366105636e+00,-7.071206900253796057e+00,3.831809633110094121e-04
7.072242354420780863e+00,-7.071296182628103999e+00,3.954971032925423506e-04
7.072313091267033336e+00,-7.071316094930587326e+00,4.516902998332079922e-04
7.072333384737133244e+00,-7.071348954082115945e+00,5.388597627347923571e-04
7.072337683208075987e+00,-7.071359782081667156e+00,6.036835211330378054e-04
7.072372027792586557e+00,-7.071375630455722039e+00,5.706218071422038737e-04
7.072386774923734798e+00,-7.071403305659607064e+00,5.834145011498505489e-04
7.072412523278390317e+00,-7.071468399696200891e+00,6.933059000217929504e-04
7.072328751583317974e+00,-7.071508286602239401e+00,7.085961013124265776e-04
7.072400769586296043e+00,-7.071499539492210218e+00,8.108062184156941297e-04
7.072460780429311811e+00,-7.071515301200698822e+00,7.346269171517440331e-04
7.072514693371459771e+00,-7.071506279995340094e+00,7.175226852686516707e-04
7.072460049762899992e+00,-7.071453007638037747e+00,6.832898282994079135e-04
7.072423442287501416e+00,-7.071370340543620792e+00,7.534008720535014490e-04
7.072457810433722791e+00,-7.071380898466714804e+00,7.340741955086721102e-04
7.072411232723379015e+00,-7.071392967273554042e+00,6.204451052739779707e-04
7.072429074621759959e+00,-7.071291312839266041e+00,6.666305989062686326e-04
7.072489604836257548e+00,-7.071322386265600279e+00,5.983645951934334854e-04
7.072514363586948072e+00,-7.071341456529059322e+00,5.249835034199647026e-04
7.072509342004226873e+00,-7.071293595443864710e+00,5.148746347769181126e-04
7.072600457752605152e+00,-7.071329246202933128e+00,4.788213429439802768e-04
7.072587345343961829e+00,-7.071273669414816609e+00,4.861110460853695784e-04
7.072560648478355638e+00,-7.071163494217322487e+00,4.884189082253014014e-04
7.072550447797770090e+00,-7.071203615842694745e+00,4.714677047307771975e-04
7.072578573079618458e+00,-7.071217096883978037e+00,4.433499139002198240e-04
7.072571331881653656e+00,-7.071255839907010454e+00,4.869362509024269692e-04
7.072607722610349867e+00,-7.071198893558713117e+00,6.375926506933162624e-04
7.072594891339969436e+00,-7.071280334917802612e+00,6.270758588557375553e-04
7.072541050842549915e+00,-7.071187591838261177e+00,5.692527615311637756e-04
7.072531955532553205e+00,-7.071157968430656027e+00,5.147433671543340770e-04
7.072481380139674201e+00,-7.071100272490767225e+00,5.057033689906442796e-04
7.072494077161350923e+00,-7.071070401469982336e+00,5.330482853387667709e-04
7.072374318932236115e+00,-7.070878250561187350e+00,6.639578890985272904e-04
7.072400818157213997e+00,-7.070914237695482996e+00,6.328391142973500711e-04
7.072344217308128123e+00,-7.070928655834604726e+00,6.769916971511606360e-04
7.072286969735118944e+00,-7.070829413499146732e+00,5.163850314878471164e-04
7.072359130720379028e+00,-7.070755616291568124e+00,5.529710968089831136e-04
7.072290357196311383e+00,-7.070761764693383356e+00,5.067791867591093244e-04
7.072301669104780864e+00,-7.070775911005426906e+00,5.322035802421370802e-04
7.072342660257437963e+00,-7.070711834293522458e+00,4.178008452435462341e-04
7.072334341322533469e+00,-7.070759665406281869e+00,4.086513858160982548e-04
7.072406352115567785e+00,-7.070818703954238060e+00,3.632607488277581715e-04
7.072453242485215341e+00,-7.070819017636045700e+00,3.688712360765126130e-04
7.072398205062024878e+00,-7.070856011580255895e+00,3.885898287752388150e-04
7.072451326197763954e+00,-7.070806071461845477e+00,4.472948521659234284e-04
7.072410413735497947e+00,-7.070892219154856662e+00,5.430394618084086146e-04
7.072410259229134688e+00,-7.070876015600823017e+00,5.576334036304037099e-04
7.072374001265289145e+00,-7.070799361515389236e+00,6.100578045068751846e-04
7.072434381117570723e+00,-7.070812686972376859e+00,5.897886071045627468e-04
7.072512754853271133e+00,-7.070813994195779273e+00,5.657400645336632585e-04
7.072525369525219041e+00,-7.070858359983437147e+00,5.421652559033005546e-04
7.072562364945907731e+00,-7.070886335889921881e+00,4.380302740833441340e-04
7.072588485939077074e+00,-7.070942552935907344e+00,4.722112103765824156e-04
7.072543925235695639e+00,-7.070946421981210150e+00,3.623567833827050439e-04
