q0 (),q1,q2,q3
9.565728385397054279e-01,8.956067983622834452e-06,2.081521950990544405e-05,-2.914934031064961295e-01
9.569527072787696875e-01,1.103853792546873416e-05,1.671122009583473565e-05,-2.902438899110871828e-01
9.573340305496913505e-01,1.948165773518749738e-05,1.509539941647369124e-05,-2.889836558424655477e-01
9.577124594071868557e-01,1.793160881076048054e-05,1.554816694230620855e-05,-2.877270312865117252e-01
9.580882372698305005e-01,1.714242053517787441e-05,1.392541421990382621e-05,-2.864732607372092454e-01
9.584612941356568383e-01,1.476741637055627125e-05,1.390031063122752475e-05,-2.852226274903632564e-01
9.588332885705557196e-01,1.706944554531015460e-05,1.205962524931433321e-05,-2.839695833926106916e-01
9.592033826016910236e-01,7.646918851100279688e-06,7.297595366832168939e-06,-2.827169444758195760e-01
9.595716152019703182e-01,1.243798667462001278e-05,6.379746380456553498e-06,-2.814645894304947937e-01
9.599399100199592638e-01,1.110360529958651752e-05,4.032583750725139685e-06,-2.802059403569465701e-01
9.603062707245579865e-01,1.240061306052238794e-05,1.065288112560656043e-05,-2.789477838948224986e-01
9.606701320867497840e-01,1.559110639233961024e-05,9.232694100564309351e-06,-2.776920902512377554e-01
9.610332240269781057e-01,1.747408227497990868e-05,4.969719934375064211e-06,-2.764328887565120074e-01
9.613933560837191195e-01,1.608742348053714675e-05,5.871027272759041498e-06,-2.751777872300185668e-01
9.617512489237441953e-01,1.117087785283642278e-05,9.255220108854572827e-06,-2.739243234602769528e-01
9.621086961247330427e-01,1.733957328733221580e-05,1.699860886368034178e-05,-2.726661993198873923e-01
9.624614194440609394e-01,2.124792422783930229e-05,1.231986681417450709e-05,-2.714185245676313807e-01
9.628160796068727656e-01,1.252859437759997041e-05,1.596444401555620343e-05,-2.701577251137253222e-01
9.631705235090181061e-01,1.070474368481020040e-05,1.413825773340568527e-05,-2.688913206648404497e-01
9.635214052508797034e-01,9.094136661415222958e-06,1.034400924615571542e-05,-2.676312788776158968e-01
9.638703804327207747e-01,6.797009364409541254e-06,1.184500179526845686e-05,-2.663717130965279623e-01
9.642182216182427767e-01,5.090388404449523214e-06,1.072403979943978649e-05,-2.651098281060814688e-01
9.645636971549774730e-01,2.798398504242125894e-06,6.514171815532899096e-06,-2.638500977457760577e-01
9.649071355526535054e-01,4.222099517076565462e-06,2.993546221039107582e-06,-2.625913550229435067e-01
9.652507459413897095e-01,-6.213021256149294302e-06,7.580993198679137489e-06,-2.613254625242585893e-01
9.655938819993518107e-01,-6.330075415100353961e-06,9.899244465793916210e-06,-2.600547152184646271e-01
9.659332065376704524e-01,-6.555175730852394865e-06,1.174864312248245725e-05,-2.587914997190848831e-01
9.662716018514967420e-01,-2.989502935862977159e-06,9.657877944413025052e-06,-2.575251276150173352e-01
9.666087747481969528e-01,-3.352250635094127216e-06,7.074013551119229288e-06,-2.562566614129480613e-01
9.669439349713593312e-01,-3.516075131040770861e-06,2.966227128305615222e-06,-2.549890715323743784e-01
9.672777405294080699e-01,-6.639400846878923115e-06,2.991293527002908264e-07,-2.537198703928253973e-01
9.676107333358501261e-01,-9.600508558949505877e-06,-3.519811848395152249e-06,-2.524469620112300694e-01
9.679409586136702437e-01,-1.176696653536338264e-05,-4.630923325976633021e-06,-2.511778264061980126e-01
9.682694506425859604e-01,-9.912370882766709021e-06,-3.679120782913538014e-06,-2.499085249456568236e-01
9.685960099436685677e-01,-1.290357210252954660e-05,-8.649412360008340399e-06,-2.486398384810648843e-01
9.689220534412693597e-01,-1.985929530236745291e-05,-1.125978440376972640e-05,-2.473662342236295775e-01
9.692456886971493324e-01,-2.011478246818090382e-05,-6.036566393948189328e-06,-2.460950923950823710e-01
9.695665518827529805e-01,-2.730361334287501648e-05,-1.327546428171410523e-05,-2.448278998571524478e-01
9.698859424174042232e-01,-2.911895378956842452e-05,-6.381675735252267582e-06,-2.435595570131962873e-01
9.702040373156662900e-01,-1.932249519705058684e-05,-6.794589213123376139e-06,-2.422893426398610162e-01
9.705211207803824403e-01,-2.048286255675387809e-05,-1.066178072098885472e-05,-2.410160857411162150e-01
9.708368398813692624e-01,-1.879764939382235650e-05,-1.254974275742677954e-05,-2.397411725555477768e-01
9.711514440965692829e-01,-1.325485860936707361e-05,-1.634996286916528158e-05,-2.384635657414683474e-01
9.714634279706478859e-01,-1.390013087542402596e-05,-1.362066401382117017e-05,-2.371893921253261373e-01
9.717727672069788047e-01,-1.177882748619735419e-05,-1.029295098287310105e-05,-2.359188179654290174e-01
9.720803839210759856e-01,-1.566643395250754634e-05,-9.143600446296289724e-06,-2.346480915473444784e-01
9.723884792091691542e-01,-1.763594816817624323e-05,-1.090782648274132421e-05,-2.333680463801159066e-01
9.726927043608110113e-01,-1.901586066737436491e-05,-1.075065859739219562e-05,-2.320967522523145199e-01
9.729948713298948171e-01,-1.893953334039984859e-05,-1.250551220507997184e-05,-2.308267312306520880e-01
9.732964904434571185e-01,-2.095208719761706238e-05,-1.208208961050303605e-05,-2.295516088061298754e-01
9.735956397355371994e-01,-3.003566032226557544e-05,-1.144624920456061465e-05,-2.282794981043912153e-01
9.738939825005901163e-01,-2.814214903692858347e-05,-1.200971084557041637e-05,-2.270033257750348199e-01
9.741895700794743762e-01,-2.980369663681022837e-05,-9.552418244225917152e-06,-2.257314346050633969e-01
9.744824953831362491e-01,-2.999392315084463542e-05,-1.375462780381761353e-05,-2.244635050582401425e-01
9.747763594949721000e-01,-2.868675987489432307e-05,-1.972106975191085436e-05,-2.231838877649509056e-01
9.750662383317144632e-01,-2.125894768402540299e-05,-1.767078458555622765e-05,-2.219140151081964163e-01
9.753557562223917898e-01,-2.349582488904582741e-05,-1.548403626715724558e-05,-2.206380475168255306e-01
9.756440589738113456e-01,-2.659115949362593782e-05,-1.471763802260756528e-05,-2.193596801269716290e-01
9.759310746376039791e-01,-3.144013659755887021e-05,-1.475630663925469742e-05,-2.180791974271291678e-01
9.762163228301182771e-01,-2.817477944406682707e-05,-7.114327822143706055e-06,-2.167987319972382310e-01
9.764989861861155251e-01,-2.577811368718744409e-05,-1.788210382569648138e-06,-2.155219926359720761e-01
9.767797756158337341e-01,-2.567253933945385627e-05,-2.788989736533142797e-06,-2.142458150840380049e-01
9.770587822327516658e-01,-2.909255959806703769e-05,-4.277092692666389040e-06,-2.129697987912412271e-01
9.773383302868566824e-01,-3.379869249410445584e-05,-3.220044740663222314e-06,-2.116832232355198573e-01
9.776132612083482387e-01,-3.497749213778663258e-05,-4.837811703288031301e-06,-2.104098625605472506e-01
9.778871772759858416e-01,-2.993969424923730775e-05,-1.323887208708694165e-06,-2.091331337236323473e-01
9.781607104333212011e-01,-2.666628235540357267e-05,5.352809564099102206e-06,-2.078500031870026965e-01
9.784300379318021657e-01,-2.700884073743680170e-05,6.016055007881474828e-06,-2.065784599301235813e-01
9.786986131747074102e-01,-2.422152978836143928e-05,2.755023948404614864e-06,-2.053022746479725713e-01
9.789679697945500303e-01,-2.263432760913334751e-05,-9.456764473846646711e-07,-2.040140034486105092e-01
9.792353878769448627e-01,-2.311618805795623841e-05,4.099423094884865890e-07,-2.027265512826656457e-01
9.795000100497675000e-01,-2.647615203655965749e-05,4.433817127437920892e-06,-2.014441103429438218e-01
9.797623475605079513e-01,-2.549285930561551722e-05,4.721444737737740487e-06,-2.001642866011432431e-01
9.800231986518636029e-01,-3.420720848417699083e-05,-1.324130543690818999e-06,-1.988832042488344609e-01
9.802834096978872980e-01,-3.316435923886230686e-05,-4.794562879940151866e-06,-1.975966486259858601e-01
9.805410790259186937e-01,-3.144050545921770476e-05,-6.549018139880037739e-06,-1.963140120095662466e-01
9.807976925453821826e-01,-3.300786614524216911e-05,-5.981523635221458147e-06,-1.950279087011807522e-01
9.810514294151425618e-01,-3.018261740179002212e-05,-6.874651542508294508e-06,-1.937474951689812652e-01
9.813041357514376006e-01,-2.788205302198621738e-05,-1.910469559047980150e-06,-1.924634832275081420e-01
9.815552318740263793e-01,-2.911055559045568557e-05,-8.424007166381243701e-07,-1.911787800269486304e-01
9.818047490022671075e-01,-2.907925559331597944e-05,-5.000480950331915319e-06,-1.898932172722006262e-01
9.820528048622304551e-01,-2.930797608761110694e-05,-1.008765685467402432e-06,-1.886061706367281321e-01
9.822986619432269029e-01,-2.761303534338243086e-05,-6.638512371697625794e-06,-1.873214828523313280e-01
9.825430991332222419e-01,-2.786195262535945177e-05,-6.482555244771650668e-06,-1.860350975686341501e-01
9.827854692480444410e-01,-2.813247033445004445e-05,-5.285315039322139394e-06,-1.847504279170433528e-01
9.830263706108699484e-01,-2.625622566317152999e-05,-7.862813526735980643e-06,-1.834643124218099941e-01
9.832659012822271283e-01,-2.974843966948519347e-05,-6.474717237955300468e-06,-1.821761961639281335e-01
9.835040467963003241e-01,-2.857789525142984406e-05,-3.366027224441489786e-06,-1.808861219311040935e-01
9.837424840128841108e-01,-2.775103335364618206e-05,2.034561269428796850e-06,-1.795848667730691184e-01
9.839765598348878539e-01,-3.514261716492040932e-05,2.739106236494292772e-06,-1.782978644095134235e-01
9.842096831347780794e-01,-3.330942304601263170e-05,4.285898430236868885e-06,-1.770064928070528010e-01
9.844411855825886404e-01,-3.415371980292646780e-05,6.712500106271271474e-06,-1.757144015646214807e-01
9.846699559217396702e-01,-3.775600926470587364e-05,7.375283846991997116e-06,-1.744278544991257618e-01
9.848983995504199118e-01,-3.338653234220808404e-05,7.997273052682781126e-06,-1.731333052431120456e-01
9.851254832739163581e-01,-2.850828568562304517e-05,3.291757751246510018e-06,-1.718364960675548558e-01
9.853500938415894472e-01,-3.338585923644138962e-05,6.448596066032680539e-06,-1.705438108234099137e-01
