ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
3.067697925030297057e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.098717466751548244e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.129585695567298131e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.160302308653690062e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.190867109277115432e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.221279996283560365e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.251540954591219190e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.281650046590815606e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.311607404367157415e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.341413222663680926e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.371067752519220306e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.400571295512946079e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.429924198559543669e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.459126849202201015e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.488179671355992184e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.517083121458725969e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.545837684990456751e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.574443873326519849e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.602902220892313068e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.631213282591080826e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.659377631478675852e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.687395856661772342e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.715268561398228542e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.742996361380339465e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.770579883183550152e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.798019762864846882e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.825316644696582102e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.852471180022795494e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.879484026226376159e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.906355845796485227e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.933087305486684926e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.959679075555121841e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.986131829078937017e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.012446241335831587e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.038622989246368888e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.064662750871229235e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.090566204958167873e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.116334030533933230e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.141966906536855220e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.167465511486216911e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.192830523184898794e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.218062618452120915e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.243162472883394543e+01,0.000000000000000000e+00,0.000000000000000000e+00
