ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.261043576555177737e+01,3.619842097652712365e+00,3.742187116036371464e+01
3.259812633206961863e+01,3.729066541313857286e+00,3.742187116036371464e+01
3.258525911326832158e+01,3.839878403319712419e+00,3.742187116036371464e+01
3.257181763622578785e+01,3.952274472195463240e+00,3.742187116036371464e+01
3.255778520163601542e+01,4.066251393513185874e+00,3.742187116036371464e+01
3.254314488498039992e+01,4.181805665773015157e+00,3.742187116036371464e+01
3.252787953775021634e+01,4.298933636232165512e+00,3.742187116036371464e+01
3.251197178872172344e+01,4.417631496682360215e+00,3.742187116036371464e+01
3.249540404528534765e+01,4.537895279176236585e+00,3.742187116036371464e+01
3.247815849483031059e+01,4.659720851703330169e+00,3.742187116036371464e+01
3.246021710618634870e+01,4.783103913816248998e+00,3.742187116036371464e+01
3.244156163112385372e+01,4.908039992207693381e+00,3.742187116036371464e+01
3.242217360591405395e+01,5.034524436238991818e+00,3.742187116036371464e+01
3.240203435295074286e+01,5.162552413420835151e+00,3.742187116036371464e+01
3.238112498243503978e+01,5.292118904846975447e+00,3.742187116036371464e+01
3.235942639412478172e+01,5.423218700581591278e+00,3.742187116036371464e+01
3.233691927915010922e+01,5.555846395001152516e+00,3.742187116036371464e+01
3.231358412189682383e+01,5.689996382091559113e+00,3.742187116036371464e+01
3.228940120195905195e+01,5.825662850701424311e+00,3.742187116036371464e+01
3.226435059616294865e+01,5.962839779752353131e+00,3.742187116036371464e+01
3.223841218066286274e+01,6.101520933407138081e+00,3.742187116036371464e+01
3.221156563311181031e+01,6.241699856196807339e+00,3.742187116036371464e+01
3.218379043490767799e+01,6.383369868107476641e+00,3.742187116036371464e+01
3.215506587351693923e+01,6.526524059628039609e+00,3.742187116036371464e+01
3.212537104487752515e+01,6.671155286759705483e+00,3.742187116036371464e+01
3.209468485588243425e+01,6.817256165988475836e+00,3.742187116036371464e+01
3.206298602694582911e+01,6.964819069221657166e+00,3.742187116036371464e+01
3.203025309465326131e+01,7.113836118689569332e+00,3.742187116036371464e+01
3.199646441449772993e+01,7.264299181813598238e+00,3.742187116036371464e+01
3.196159816370323625e+01,7.416199866041865540e+00,3.742187116036371464e+01
3.192563234413756135e+01,7.569529513653719732e+00,3.742187116036371464e+01
3.188854478531598957e+01,7.724279196534380887e+00,3.742187116036371464e+01
