ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,-1.661577605879388031e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.690225495635929320e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.718873385392470610e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.747521275149011899e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.776169164905552833e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.804817054662094122e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.833464944418635412e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.862112834175176346e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.890760723931717635e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.919408613688258924e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.948056503444800214e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.976704393201341148e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.005352282957882437e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.034000172714423726e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.062648062470964661e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.091295952227505950e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.119943841984047239e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.148591731740588529e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.177239621497129463e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.205887511253670752e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.234535401010212041e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.263183290766752975e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.291831180523294265e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.320479070279835554e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.349126960036376843e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.377774849792917777e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.406422739549459067e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.435070629306000356e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.463718519062541290e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.492366408819082579e+01
