pos_x (m),pos_y (m),pos_z (m)
-2.707441901813063305e+06,4.688686314776618034e+06,3.360102293986031786e+06
-2.707441812706049997e+06,4.688686269374928437e+06,3.360102293961504009e+06
-2.707441723479693290e+06,4.688686224206833169e+06,3.360102293936363887e+06
-2.707441634135668632e+06,4.688686179273605347e+06,3.360102293909915723e+06
-2.707441544674817938e+06,4.688686134573873132e+06,3.360102293883231468e+06
-2.707441455096944235e+06,4.688686090108642355e+06,3.360102293856265023e+06
-2.707441365402941592e+06,4.688686045878080651e+06,3.360102293828988913e+06
-2.707441275593440048e+06,4.688686001882119104e+06,3.360102293800801039e+06
-2.707441185669249389e+06,4.688685958120985888e+06,3.360102293773175217e+06
-2.707441095630928408e+06,4.688685914595342241e+06,3.360102293744045775e+06
-2.707441005479109474e+06,4.688685871305222623e+06,3.360102293715397827e+06
-2.707440915213522967e+06,4.688685828250848688e+06,3.360102293687022291e+06
-2.707440824835787062e+06,4.688685785432734527e+06,3.360102293657699134e+06
-2.707440734346404672e+06,4.688685742850560695e+06,3.360102293627631385e+06
-2.707440643745163921e+06,4.688685700504852459e+06,3.360102293599861208e+06
-2.707440553033597767e+06,4.688685658396689221e+06,3.360102293570576701e+06
-2.707440462212046143e+06,4.688685616526339203e+06,3.360102293542279396e+06
-2.707440371281553060e+06,4.688685574894375168e+06,3.360102293514655437e+06
-2.707440280242692679e+06,4.688685533500776626e+06,3.360102293487759773e+06
-2.707440189095199574e+06,4.688685492346561514e+06,3.360102293460533489e+06
-2.707440097840130329e+06,4.688685451430879533e+06,3.360102293434525840e+06
-2.707440006478746887e+06,4.688685410754916258e+06,3.360102293409353588e+06
-2.707439915010550525e+06,4.688685370318144560e+06,3.360102293385250494e+06
-2.707439823436147999e+06,4.688685330120611936e+06,3.360102293360729236e+06
-2.707439731756431051e+06,4.688685290163558908e+06,3.360102293335461523e+06
-2.707439639971988741e+06,4.688685250446664169e+06,3.360102293309862725e+06
-2.707439548083927017e+06,4.688685210970052518e+06,3.360102293285100255e+06
-2.707439456092259381e+06,4.688685171733989380e+06,3.360102293259528466e+06
-2.707439363997947890e+06,4.688685132739208639e+06,3.360102293233322911e+06
-2.707439271802147850e+06,4.688685093985269777e+06,3.360102293205991387e+06
-2.707439179503949359e+06,4.688685055471605621e+06,3.360102293178745545e+06
-2.707439087104254868e+06,4.688685017199954949e+06,3.360102293152022175e+06
-2.707438994604440406e+06,4.688684979170338251e+06,3.360102293125017546e+06
-2.707438902004971169e+06,4.688684941383223049e+06,3.360102293097611517e+06
-2.707438809307056945e+06,4.688684903838736936e+06,3.360102293070345186e+06
-2.707438716510923579e+06,4.688684866537612863e+06,3.360102293043059297e+06
-2.707438623617718928e+06,4.688684829479467124e+06,3.360102293015498202e+06
-2.707438530627854168e+06,4.688684792664899491e+06,3.360102292987789027e+06
-2.707438437542386353e+06,4.688684756093561649e+06,3.360102292960008606e+06
-2.707438344362267293e+06,4.688684719767073169e+06,3.360102292933103628e+06
-2.707438251087800600e+06,4.688684683685072698e+06,3.360102292905855458e+06
-2.707438157719337381e+06,4.688684647846688516e+06,3.360102292878841516e+06
-2.707438064257301390e+06,4.688684612253059633e+06,3.360102292851398699e+06
-2.707437970702226274e+06,4.688684576903942972e+06,3.360102292824228760e+06
-2.707437877055185847e+06,4.688684541799553670e+06,3.360102292796782684e+06
-2.707437783316800836e+06,4.688684506941671483e+06,3.360102292769363150e+06
-2.707437689488303848e+06,4.688684472329296172e+06,3.360102292741320562e+06
-2.707437595569884405e+06,4.688684437963318080e+06,3.360102292714407668e+06
-2.707437501562112942e+06,4.688684403844029643e+06,3.360102292687699664e+06
-2.707437407465836965e+06,4.688684369969983585e+06,3.360102292661128566e+06
-2.707437313281158451e+06,4.688684336341981776e+06,3.360102292634256650e+06
-2.707437219008634333e+06,4.688684302960579284e+06,3.360102292607154232e+06
-2.707437124649452046e+06,4.688684269825923257e+06,3.360102292580067180e+06
-2.707437030204522423e+06,4.688684236938922666e+06,3.360102292551603634e+06
-2.707436935674032662e+06,4.688684204299166799e+06,3.360102292522943113e+06
-2.707436841058434919e+06,4.688684171907259151e+06,3.360102292495195288e+06
-2.707436746358592995e+06,4.688684139762810431e+06,3.360102292467919178e+06
-2.707436651575577911e+06,4.688684107866621576e+06,3.360102292441363912e+06
-2.707436556708057877e+06,4.688684076218668371e+06,3.360102292414474767e+06
-2.707436461757746991e+06,4.688684044819467701e+06,3.360102292388892267e+06
-2.707436366725489497e+06,4.688684013669422828e+06,3.360102292362525128e+06
-2.707436271611983422e+06,4.688683982768381014e+06,3.360102292336128652e+06
-2.707436176418254618e+06,4.688683952116732486e+06,3.360102292309574783e+06
-2.707436081145032309e+06,4.688683921714905649e+06,3.360102292282399721e+06
-2.707435985792782623e+06,4.688683891562224366e+06,3.360102292253001127e+06
