Yaw (deg),Pitch (deg),Roll (deg)
-4.003464998007057574e+01,-1.172903132145997800e-03,3.677220197841109413e-04
-3.988615647575555556e+01,-7.773866346967773676e-04,-4.512063572898758566e-04
-3.973694468511553879e+01,-1.193482711111358867e-03,-9.992441427259884067e-04
-3.958817133428027546e+01,-1.534173059647104479e-04,2.456232098382366740e-04
-3.943910223646838631e+01,-8.038107219384625331e-04,1.821635967608329666e-04
-3.928988496637393268e+01,-9.808752050624370590e-04,-2.575241296572096882e-04
-3.914029120615614943e+01,-1.197484501121777499e-03,-9.033782189365089331e-04
-3.899135030515422073e+01,-5.063458999803844380e-04,-3.417313642349258693e-04
-3.884149089125347132e+01,-5.148743791804266581e-04,1.479123807378043105e-04
-3.869159138843597390e+01,-5.823691440951206085e-04,6.754564594160421883e-05
-3.854211120365657450e+01,-3.794609656835015092e-04,1.595689651849328599e-04
-3.839235364644809323e+01,-6.017910909804779921e-04,2.851509358699022643e-04
-3.824306427832277677e+01,-4.664690497590597831e-04,4.635723242179427893e-04
-3.809308095122143811e+01,1.321649373929888237e-04,6.588728458240420078e-04
-3.794408289814431612e+01,-4.700856994609984489e-05,5.186287788139802481e-04
-3.779401408993034295e+01,2.645935560169736527e-04,6.591856094248135225e-04
-3.764516059981355767e+01,4.175653415437798619e-04,3.810756729656916155e-04
-3.749531861889600748e+01,-6.610027937136243642e-05,1.272773968884442775e-03
-3.734581426115484959e+01,-4.696069012577136037e-04,1.632497085504976261e-03
-3.719590697849883298e+01,-3.256736165615739965e-04,2.006406700720899348e-03
-3.704642949241765848e+01,-2.030489240181134055e-04,2.049395862768206567e-03
-3.689684050748621758e+01,-4.216311551146813556e-04,1.915731977383172604e-03
-3.674719676646369493e+01,1.164568738504512691e-03,1.455406192990206082e-03
-3.659694508536232149e+01,1.233575970869320261e-03,1.725382411911998782e-03
-3.644767046263822152e+01,8.494717008117339202e-04,2.189675334066744621e-03
-3.629815182781857885e+01,2.299929995132246716e-04,1.985117339146949458e-03
-3.614853344305457483e+01,-2.357550512013000714e-04,2.364773719185065803e-03
-3.599819790116946905e+01,-2.435660106784817724e-04,2.423803290332701005e-03
-3.584815420125632102e+01,2.472507361891861837e-04,2.721269053832451202e-03
-3.569864021389190611e+01,3.289697495286837215e-04,3.136268707596364096e-03
-3.554930595592674081e+01,2.771334060292036309e-04,2.887808066659522475e-03
-3.539889233675857128e+01,-4.250978339707064436e-04,2.775173213810639902e-03
-3.524896103709545514e+01,-4.752297031824278400e-05,2.949252494904535185e-03
-3.509930185091611321e+01,-4.911594197580221961e-04,2.485845206312106703e-03
-3.494974294116066460e+01,-9.521333345196535949e-04,2.460584118594083807e-03
-3.479944363174504218e+01,-1.255068090211401092e-03,1.735874146728173112e-03
-3.464973748211420457e+01,-1.848603544244165021e-03,1.599534684139836474e-03
-3.449951237285595340e+01,-2.067589587728348079e-03,1.581911003027016002e-03
-3.434953449493176691e+01,-3.038665805278057200e-03,6.963723591969097444e-04
-3.419981929419571998e+01,-2.663911392081278178e-03,4.379773504780862074e-04
-3.404941000672073415e+01,-2.240334686872786588e-03,9.675740608252526203e-04
-3.389900933924312199e+01,-2.199154598653002210e-03,1.383478683304269338e-03
-3.374860528493225331e+01,-2.067957068389114725e-03,1.539950869999567830e-03
-3.359818802513097324e+01,-2.323342571098382936e-03,1.771124403976969287e-03
-3.344849455922289394e+01,-1.412143559869255376e-03,2.156222260047106418e-03
-3.329873473799482753e+01,-7.773551185259620216e-04,2.465885695388957046e-03
-3.314889105207814168e+01,-2.495877402798072427e-04,2.341456212205686623e-03
-3.299879825266935995e+01,7.622705483658519720e-05,2.753439911077993317e-03
-3.284848468869034122e+01,2.911680160596433287e-05,2.809583985266398895e-03
-3.269847258142976187e+01,-6.760166782127985169e-04,3.207824898373921874e-03
-3.254786750364271342e+01,-3.837776303461648813e-04,3.682296020043711749e-03
-3.239795769311596274e+01,-1.689816021340028286e-04,3.743842475210580785e-03
-3.224790063630739922e+01,3.966256682114744660e-05,4.614872549291320659e-03
-3.209800501488174262e+01,5.266819228284906878e-04,5.109096232386071794e-03
-3.194811029815843995e+01,7.012059470785724597e-05,5.371921062787384654e-03
-3.179805509433527888e+01,-4.947229476285632498e-04,5.524527344223815681e-03
-3.164831314914423643e+01,-1.523772227052097670e-03,5.260895391705327703e-03
-3.149786994488103176e+01,-9.633781390260812063e-04,5.429244873149440508e-03
-3.134790919041805779e+01,-1.500557574475171879e-03,5.459640441937707762e-03
-3.119789864070929042e+01,-1.165886355486545241e-03,5.079556936920780370e-03
-3.104836374338699301e+01,-1.400396581036291712e-03,5.587612631172354447e-03
-3.089786809886473407e+01,-1.587301568806922299e-03,5.622528314028083819e-03
