accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
0.000000000000000000e+00,2.617993877991493523e-01,-9.794839130570458963e+00
0.000000000000000000e+00,4.974188368183837805e-01,-9.794839130570458963e+00
0.000000000000000000e+00,7.094763409356947825e-01,-9.794839130570458963e+00
0.000000000000000000e+00,9.003280946412748342e-01,-9.794839130570458963e+00
0.000000000000000000e+00,1.072094672976296792e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.226684593477816332e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.365815521929184317e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.491033357535415105e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.603729409581022836e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.705155856422069682e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.796439658579012111e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.878595080520260252e+00,-9.794839130570458963e+00
0.000000000000000000e+00,1.952534960267383601e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.019080852039794483e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.078972154634964209e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.132874326970616963e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.181386282072704574e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.225047041664583780e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.264341725297274621e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.299706940566696556e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.331535634309175986e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.360181458677407917e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.385962700608816434e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.409165818347084098e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.430048624311524907e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.448843149679521769e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.465758222510718856e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.480981788058796322e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.494682997052065865e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.507014085146008764e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.518112064430557240e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.528100245786650824e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.537089609007135316e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.545180035905571625e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.552461420114163992e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.559014665901897079e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.564912587110856901e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.570220716198920563e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.574998032378177815e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.579297616939509208e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.583167243044707906e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.586649906539386645e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.589784303684597333e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.592605261115287441e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.595144122802908182e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.597429098321766716e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.599485576288739885e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.601336406459014761e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.603002153612262504e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.604501326050185916e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.605850581244316899e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.607064910919034695e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.608157807626280800e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.609141414662802028e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.610026660995671044e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.610823382695253603e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.611540432224877417e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.612185776801539294e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.612766586920534539e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.613289316027630704e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.613759772224017119e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.614183182800764449e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.614564252319837578e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.614907214887003395e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.615215881197452408e+00,-9.794839130570458963e+00
