q0 (),q1,q2,q3
9.998284170945067606e-01,0.000000000000000000e+00,1.852394046343833894e-02,0.000000000000000000e+00
9.998098810245096280e-01,0.000000000000000000e+00,1.949876421099568102e-02,0.000000000000000000e+00
9.997898823586495176e-01,0.000000000000000000e+00,2.049856417600392361e-02,0.000000000000000000e+00
9.997683461319716303e-01,0.000000000000000000e+00,2.152333785782644185e-02,0.000000000000000000e+00
9.997451955091234410e-01,0.000000000000000000e+00,2.257308256363331489e-02,0.000000000000000000e+00
9.997203517848261001e-01,0.000000000000000000e+00,2.364779539880090126e-02,0.000000000000000000e+00
9.996937343843814716e-01,0.000000000000000000e+00,2.474747325707815290e-02,0.000000000000000000e+00
9.996652608642153659e-01,0.000000000000000000e+00,2.587211281051981712e-02,0.000000000000000000e+00
9.996348469124604064e-01,0.000000000000000000e+00,2.702171049918665816e-02,0.000000000000000000e+00
9.996024063495788647e-01,0.000000000000000000e+00,2.819626252061276789e-02,0.000000000000000000e+00
9.995678511290284618e-01,0.000000000000000000e+00,2.939576481904021196e-02,0.000000000000000000e+00
9.995310913379719109e-01,0.000000000000000000e+00,3.062021307442105642e-02,0.000000000000000000e+00
9.994920351980329798e-01,0.000000000000000000e+00,3.186960269118700034e-02,0.000000000000000000e+00
9.994505890661010694e-01,0.000000000000000000e+00,3.314392878678675686e-02,0.000000000000000000e+00
9.994066574351856413e-01,0.000000000000000000e+00,3.444318617999134885e-02,0.000000000000000000e+00
9.993601429353226040e-01,0.000000000000000000e+00,3.576736937896757285e-02,0.000000000000000000e+00
9.993109463345359877e-01,0.000000000000000000e+00,3.711647256911979054e-02,0.000000000000000000e+00
9.992589665398546872e-01,0.000000000000000000e+00,3.849048960070018677e-02,0.000000000000000000e+00
9.992041005983893776e-01,0.000000000000000000e+00,3.988941397618794155e-02,0.000000000000000000e+00
9.991462436984692719e-01,0.000000000000000000e+00,4.131323883743732994e-02,0.000000000000000000e+00
9.990852891708417172e-01,0.000000000000000000e+00,4.276195695259507601e-02,0.000000000000000000e+00
9.990211284899384037e-01,0.000000000000000000e+00,4.423556070278734237e-02,0.000000000000000000e+00
9.989536512752078545e-01,0.000000000000000000e+00,4.573404206857647342e-02,0.000000000000000000e+00
9.988827452925190808e-01,0.000000000000000000e+00,4.725739261618788073e-02,0.000000000000000000e+00
9.988082964556365129e-01,0.000000000000000000e+00,4.880560348350743843e-02,0.000000000000000000e+00
9.987301888277713147e-01,0.000000000000000000e+00,5.037866536584952037e-02,0.000000000000000000e+00
9.986483046232088601e-01,0.000000000000000000e+00,5.197656850149632440e-02,0.000000000000000000e+00
9.985625242090163667e-01,0.000000000000000000e+00,5.359930265700855317e-02,0.000000000000000000e+00
9.984727261068336857e-01,0.000000000000000000e+00,5.524685711230806207e-02,0.000000000000000000e+00
9.983787869947483573e-01,0.000000000000000000e+00,5.691922064553273791e-02,0.000000000000000000e+00
9.982805817092585965e-01,0.000000000000000000e+00,5.861638151766407345e-02,0.000000000000000000e+00
9.981779832473267611e-01,0.000000000000000000e+00,6.033832745692793709e-02,0.000000000000000000e+00
9.980708627685263012e-01,0.000000000000000000e+00,6.208504564296887102e-02,0.000000000000000000e+00
9.979590895972838549e-01,0.000000000000000000e+00,6.385652269079854226e-02,0.000000000000000000e+00
9.978425312252202639e-01,0.000000000000000000e+00,6.565274463451874210e-02,0.000000000000000000e+00
9.977210533135937309e-01,0.000000000000000000e+00,6.747369691081954446e-02,0.000000000000000000e+00
9.975945196958461159e-01,0.000000000000000000e+00,6.931936434225303978e-02,0.000000000000000000e+00
9.974627923802580343e-01,0.000000000000000000e+00,7.118973112028344208e-02,0.000000000000000000e+00
9.973257315527125355e-01,0.000000000000000000e+00,7.308478078811389556e-02,0.000000000000000000e+00
9.971831955795736890e-01,0.000000000000000000e+00,7.500449622329088961e-02,0.000000000000000000e+00
