ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.283341761253971036e+00,0.000000000000000000e+00,-9.710404892972613666e+00
1.318776111764378367e+00,0.000000000000000000e+00,-9.705656022582116904e+00
1.354677930099036143e+00,0.000000000000000000e+00,-9.700710126962226454e+00
1.391045982747022958e+00,0.000000000000000000e+00,-9.695561888592546751e+00
1.427878985914683430e+00,0.000000000000000000e+00,-9.690205924707077756e+00
1.465175604205252835e+00,0.000000000000000000e+00,-9.684636787742050501e+00
1.502934449284011764e+00,0.000000000000000000e+00,-9.678848965801680748e+00
1.541154078529169302e+00,0.000000000000000000e+00,-9.672836883142288400e+00
1.579832993668705221e+00,0.000000000000000000e+00,-9.666594900675246294e+00
1.618969639403380567e+00,0.000000000000000000e+00,-9.660117316489225558e+00
1.658562402016164672e+00,0.000000000000000000e+00,-9.653398366392183405e+00
1.698609607968311286e+00,0.000000000000000000e+00,-9.646432224473597827e+00
1.739109522482341186e+00,0.000000000000000000e+00,-9.639213003687393311e+00
1.780060348112188828e+00,0.000000000000000000e+00,-9.631734756456056701e+00
1.821460223300783721e+00,0.000000000000000000e+00,-9.623991475296408638e+00
1.863307220925350727e+00,0.000000000000000000e+00,-9.615977093467535042e+00
1.905599346830708640e+00,0.000000000000000000e+00,-9.607685485641340506e+00
1.948334538350879885e+00,0.000000000000000000e+00,-9.599110468596242285e+00
1.991510662819308664e+00,0.000000000000000000e+00,-9.590245801934479175e+00
2.035125516068017504e+00,0.000000000000000000e+00,-9.581085188823537990e+00
2.079176820916026180e+00,0.000000000000000000e+00,-9.571622276762202119e+00
2.123662225647380275e+00,0.000000000000000000e+00,-9.561850658371700007e+00
2.168579302479135773e+00,0.000000000000000000e+00,-9.551763872212504225e+00
2.213925546019672286e+00,0.000000000000000000e+00,-9.541355403627223453e+00
2.259698371717700827e+00,0.000000000000000000e+00,-9.530618685610145135e+00
2.305895114302362714e+00,0.000000000000000000e+00,-9.519547099703924431e+00
