mag_x (uT),mag_y (uT),mag_z (uT)
3.281075291926362780e+01,-2.607678179595838586e+01,2.686585957816874881e+01
3.281934491140550136e+01,-2.619054075598001674e+01,2.673987135574191498e+01
3.281349609189999939e+01,-2.629492812805159474e+01,2.662699032306661451e+01
3.279435773730694592e+01,-2.642045671272103391e+01,2.651243994645802715e+01
3.279696180866895361e+01,-2.650310080128622658e+01,2.641950934052360722e+01
3.281368747198915514e+01,-2.662316975461576263e+01,2.630645493606897034e+01
3.280974454333176737e+01,-2.673456927071680767e+01,2.618542699228659743e+01
3.280744101646838118e+01,-2.681620951032762079e+01,2.607581992943724813e+01
3.280507253796323397e+01,-2.693831814150360771e+01,2.597440212052358532e+01
3.280648700766806058e+01,-2.703860838906951614e+01,2.585788292477320027e+01
3.279784120994168006e+01,-2.714501935968284485e+01,2.575454543248942230e+01
3.281495733275565385e+01,-2.726848757839735882e+01,2.563234620474950276e+01
3.281579453176983918e+01,-2.734712059347999258e+01,2.552283169721946621e+01
3.280865238789423444e+01,-2.744157358759587240e+01,2.544943124913481824e+01
3.281173548720317257e+01,-2.755064157795523627e+01,2.533235069975505738e+01
3.282087284509133696e+01,-2.764848555245071182e+01,2.519874935250647496e+01
3.281005634714006192e+01,-2.774635476204656115e+01,2.512691487473262342e+01
3.280996910410338785e+01,-2.783743575665299375e+01,2.500949165241962291e+01
3.281232559120639536e+01,-2.794443303313564542e+01,2.489567214066708445e+01
3.282770913317426675e+01,-2.802669098551842453e+01,2.478735309271128884e+01
3.281126126750428540e+01,-2.813130964402359879e+01,2.467859243745058961e+01
3.281501451102363376e+01,-2.823270903580410618e+01,2.455958084166706357e+01
3.281351944572046619e+01,-2.831928068538028143e+01,2.445394481206144022e+01
3.279811584169168270e+01,-2.840563193965375532e+01,2.437956651344840608e+01
3.281960103010339225e+01,-2.849173546360348652e+01,2.426643129974969426e+01
3.280284786702223698e+01,-2.858422373913174752e+01,2.415821005096718110e+01
3.280513156646168937e+01,-2.866655966564558256e+01,2.404429336762235891e+01
3.281260347117984111e+01,-2.875369063793507962e+01,2.393864463833634204e+01
3.281926516747838463e+01,-2.885394136862536385e+01,2.382769485762065642e+01
3.279785969812352420e+01,-2.893533753350930837e+01,2.372320185792925074e+01
3.280986190759361421e+01,-2.902819338799630700e+01,2.362661583968309742e+01
3.280254709326275275e+01,-2.908798305580357635e+01,2.351977522822154398e+01
3.281171439052702254e+01,-2.918980262670127956e+01,2.342752200153209685e+01
3.279786025560381546e+01,-2.926057986587495563e+01,2.332668812755990473e+01
3.281229104151721998e+01,-2.934854756647084884e+01,2.320897015719915046e+01
3.280461912332857821e+01,-2.944403014403907193e+01,2.311565722865086414e+01
3.282120373839833860e+01,-2.951314852969620972e+01,2.301556055441637128e+01
3.279988290389558614e+01,-2.959785802008153155e+01,2.291528899167468225e+01
3.281009979525377673e+01,-2.968752928300108351e+01,2.279774996967672962e+01
3.280432206769811643e+01,-2.975832151676150161e+01,2.268380319848155580e+01
3.280599182156864657e+01,-2.982005016675570275e+01,2.259872391496578103e+01
3.280971783148834220e+01,-2.990806707085430105e+01,2.248098665803332707e+01
3.280841471773702978e+01,-2.998268587355218173e+01,2.240631621208780544e+01
3.281396987075211769e+01,-3.006409371710709877e+01,2.229581285738905194e+01
3.281712497550076080e+01,-3.014392310717369128e+01,2.217914378056852343e+01
3.282321981973940694e+01,-3.021093192792747928e+01,2.208135685713175178e+01
3.278481407331513964e+01,-3.028888237600421363e+01,2.198086656800287031e+01
3.281761867499731267e+01,-3.033668974676817243e+01,2.187321422974319773e+01
3.281926471780359122e+01,-3.043177600231384261e+01,2.179145054844907392e+01
3.283188964021913847e+01,-3.049372991968146351e+01,2.167828649688101095e+01
3.281951264635971199e+01,-3.055269164173388674e+01,2.159575351356916784e+01
3.282287905611954670e+01,-3.062939359572963482e+01,2.148698259617279405e+01
3.281672895750131858e+01,-3.069800781101595533e+01,2.140337539736526296e+01
3.281763007138705035e+01,-3.078569419444044186e+01,2.129806721910769340e+01
3.284274391867131015e+01,-3.083954632873109958e+01,2.119223025144826877e+01
3.281374125852266133e+01,-3.090504442505999805e+01,2.110075377961715404e+01
3.280481823593986235e+01,-3.097304515426874261e+01,2.099471852241519088e+01
3.279969682400921727e+01,-3.103480898007548561e+01,2.091824467503866458e+01
3.282867135094006272e+01,-3.109714278858211145e+01,2.081933393832409962e+01
3.280391156569249489e+01,-3.117242285137648494e+01,2.071639650339018601e+01
3.281135614083236618e+01,-3.122269735135608570e+01,2.061066611667007109e+01
3.280389960542434125e+01,-3.127684836648834832e+01,2.053467404897286741e+01
3.280955857462218717e+01,-3.136211722554921622e+01,2.042357881657343199e+01
3.281148711714278221e+01,-3.141029700386033596e+01,2.034300565419904316e+01
3.281235068735228566e+01,-3.148076601277190179e+01,2.023859143842453889e+01
3.279381715516291251e+01,-3.154679317621042856e+01,2.013301742738391198e+01
3.280255245180383383e+01,-3.159927670429008373e+01,2.004423081820987562e+01
3.281459233178635770e+01,-3.166772050673008110e+01,1.995571875489650893e+01
3.281389763321050168e+01,-3.170857089505241788e+01,1.986878012281134787e+01
3.280113434449395982e+01,-3.177859259262286429e+01,1.976889039954612315e+01
3.283204774426745587e+01,-3.185394994216899889e+01,1.967490215935747599e+01
3.282072467756988488e+01,-3.189205525930164953e+01,1.958015237809064857e+01
3.280257929670351302e+01,-3.194708632545194149e+01,1.947630400245943960e+01
3.279130619037717764e+01,-3.202673537034414153e+01,1.939553076704360279e+01
