gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.753744576415394607e-01,4.929279227997817592e-01,5.427408922912514422e-01
4.753997161536233085e-01,4.932795196967367790e-01,5.276908392799135594e-01
4.322893960464676555e-01,5.940580540935512799e-01,4.889106090495705659e-01
5.290864246481477018e-01,4.499396616908412083e-01,4.812327923688056730e-01
4.694849966806652342e-01,4.568568063180876160e-01,4.699269270099190043e-01
5.856921533665370161e-01,4.925851118572232012e-01,4.355996357391349605e-01
5.655474847107223590e-01,4.294798529431398393e-01,4.931893013643252055e-01
4.165820210538937474e-01,5.595393689097055701e-01,4.471514926820019942e-01
4.840567411162159384e-01,4.442886142808493699e-01,5.714389815287728158e-01
5.014757735685532181e-01,4.658009510408518405e-01,5.203264311668270858e-01
4.797070308383901693e-01,5.789171980533106554e-01,5.738193524975968574e-01
5.410394369835299644e-01,4.572092821622626424e-01,4.644113275125775209e-01
4.970779079955409685e-01,4.451569779906422997e-01,4.728302807731539215e-01
5.261980770397925999e-01,5.154504764616014700e-01,4.992034202997530645e-01
5.145589653401539953e-01,5.298180439952064891e-01,5.377679094334942844e-01
5.312899061062931194e-01,5.416538352574383763e-01,5.802391413815207732e-01
4.905562667890305817e-01,4.954593737388859331e-01,5.500461153525512126e-01
4.390591909515298985e-01,4.903899990332117875e-01,4.929324175175055500e-01
4.338018605553824458e-01,5.403617790569350543e-01,5.082370283372339426e-01
5.247444820931144172e-01,4.831091686990642842e-01,5.792619156297258431e-01
4.832128613711446086e-01,5.386713182251490206e-01,5.401253888994187458e-01
4.810558742769247553e-01,5.600012254622539487e-01,4.815214117269485672e-01
5.369347848501747622e-01,4.944515279826822152e-01,5.428234637160359588e-01
5.112723730147725743e-01,4.628915452558621801e-01,5.084945180422102418e-01
5.163274158554396198e-01,4.721920996304243001e-01,5.235835526141285889e-01
5.709819593065337262e-01,4.859740443674486765e-01,4.770444873644945072e-01
4.676019882770391378e-01,3.940905873913398416e-01,5.427522092299512657e-01
4.283207775785166649e-01,5.369415386467218942e-01,5.027326738634360082e-01
4.228983420243866420e-01,4.664219647006269676e-01,4.479342068702195645e-01
4.835391124720523903e-01,5.065564739127453864e-01,4.521377736383366819e-01
5.467608986148740913e-01,4.499220942076341268e-01,4.336229788717277378e-01
5.551519279532360907e-01,4.655193275303937117e-01,4.779889477017024157e-01
5.334892065968284136e-01,4.927318311639752868e-01,4.898080039783885842e-01
4.249548485706007850e-01,5.600669321955428215e-01,4.958136834734609422e-01
4.896534633843291906e-01,4.985085984103926338e-01,4.596714838238589729e-01
4.534704214250488974e-01,4.932661987880857524e-01,4.466121345877214210e-01
5.416619181951681794e-01,4.748821614319367890e-01,5.193998549455988156e-01
4.493823171771564318e-01,4.896046064017487986e-01,5.247712623454442449e-01
4.637807507663679885e-01,4.524480007522038716e-01,4.695386639709478449e-01
4.696338517510576516e-01,5.379419967497265365e-01,4.766195693590382088e-01
5.100602295963400090e-01,5.451524364141384638e-01,4.798918459103597711e-01
4.327167214313490384e-01,5.128986900247761715e-01,4.085618000688604479e-01
